Date;Time:;Location:;AC        Type:;Operator:;Route:;cn / ln:;Flight #:;Is_military;Military country;Aboard_all;Aboard_passengers;Fatalities_all;Fatalities_passengers;Ground:;Registration:;Summary:
16.12.1960;10:33:00;Staten Island / Brooklyn, New York;MD DC-8-11 / Lockheed  1049 S Const;United Air Lines / Trans World Airlines;Chicago - New York City / Columbus - New York City;45290 /4021;826/266;No;;128;116;128;116;6;N8013U/N6907C;A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four people on the Constellation and eight-four people on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.
30.06.1956;10:32:00;Grand Canyon, Arizona;Douglas DC-7 / Lockheed S Constellation;United Air Lines / Trans World Airlines;Los Angeles - Chicago / Los Angeles - Kansas City;44288 / 4016;718 / 2;No;;128;117;128;117;0;N6902C/N6324C;The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties. This is the accident that led to the adoption of the Air Route Traffic Centers that track planes across the country and the formation of the FAA.
20.08.1975;01:15:00;Near Damascus, Syria;Ilyushin IL-62;Ceskoslovenske Aerolinie;Prague, Czechoslovakia - Damascus, Syria;31502;542;No;;128;117;126;115;0;OK-DBF;The airliner crashed into a sandy knoll, 10 miles NE of Damascus during an approach to Damascus International Airport. Failure of the crew to maintain the minimum flight altitude.
06.11.2018;02:53:00;Georgetown, Guyana;Boeing 757-N23;Fly Jamaica Airways;Georgetown - Toronto;30233/895;;No;;128;120;1;1;0;N524AT;After taking off and reaching FL200, the crew reported a hydraulic problem and circled back to Georgetown Airport. The aircraft touched down on runway 06 but went off the runway and came to rest against the airport perimeter fence. Six people were injured. One person died of their injuries several days later.
21.01.1980;19:10:00;Elburz Mtns., near Tehran, Iran;Boeing B-727-86;Iran Air;Babol Sar - Tehran;19817/537;291;No;;128;120;128;120;0;EP-IRD;"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named ""Shiraz."""
14.09.1990;01:53:00;Koltsovo, Russia;Yakovlev YAK-42;Aeroflot;Volgograd - Sverdlovsk;1811379;;No;;128;122;4;3;0;CCCP-42351;The aircraft undershot on approach and crashed 1,700m short of the runway.  It is reported that the crew, who was apparently fatigued, failed to correctly follow procedures. The accident happened at night.
18.06.1953;16:34:00;Tachikawa AFB, Tokyo, Japan;Douglas C-124A Globemaster II;Military - U.S. Air Force;Tachikawa AB - Kimpo AB;43471;;Yes; U.S. Air Force;129;122;129;122;0;51-137A;Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. A premature application of full flaps during the three engine approach resultied in loss of air speed and aircraft control. The plane crashed into a field of watermelons. First aviation disaster to claim more than 100 lives.
27.12.1991;08:51:00;Stockholm, Sweden;Mc Donnell Douglas MD-81;Scandinavian Airlines (SAS);Stockholm-Copenhagen-Warsaw;53003/1844;751;No;;129;123;0;0;0;OY-KHO;The aircraft reached an altitude of 3,000 feet and then made an emergency descent, clipping trees and made a belly landing in a field, breaking into 3 parts but staying together. Failure of both engines. Improper deicing of the aircraft led to chunks of ice breaking off and being ingested into both engines, leading to engine surg. The captain reduced thrust as he shoulld have. An ATR system, which was unknown within SAS, acted  as a safety system increased the throttles after the captain reduced power causing the engines to continue to surge, destroying the engines.The aircraft was named Dana Viking.
19.10.1988;07:00:00;Near Ahmedabad, India;Boeing B-737-2A8;Indian Airlines;Bombay - Ahmadabad;20481/271;113;No;;129;124;124;119;0;VT-EAH;The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames. Error on the part of pilot-in-command as well as co-pilot due to non adherence to procedures under poor visibility conditions.
23.12.1978;00:39:00;Off Cinisi, Sicily, Italy;McDonnell Douglas DC-9-32;Alitalia;Rome - Palermo;47227/334;4128;No;;129;124;108;103;0;I-DIKQ;The aircraft crashed into ocean during a landing approach. Poor monitoring of altitudes and too early a transition from ILS to visual flight procedures.
07.02.1952;;Kaneko, Japan;Boeing B-29;Military - U.S. Air Force;;;;Yes; U.S. Air Force;13;?;13;?;5;;The military plane crashed into several houses in a snowstorm after taking from Yokota AFB and hitting  power lines.
02.01.1984;;Amman, Jordan;CASA 212-A3 Aviocar 100;Military - Royal Jordanian Air Force;;55;;Yes; Royal Jordanian Air Force;13;?;13;?;0;324;Crashed due to mechanical problems.
04.07.1943;23:00:00;Gibraltar;Consolidated Liberator B24 C;;;;;;;13;?;12;?;0;A-L-523;The flight, bound for London, crashed into the Mediterranean shortly after takeoff. Wladyslaw Sikorski, prime minister of the Polish government in exile, killed.
26.07.2000;06:00:00;Mafraq, Jordan;Lockheed C-130H Hercules;Military - Royal Jordanian Air Force;;4073;;Yes; Royal Jordanian Air Force;13;?;13;?;0;348;Crashed on a training flight.
15.01.2009;;Adraskan district, Afghanistan;Mil Mi-17;Afghan Army;;;;No;;13;?;13;?;0;;Either shot down or crashed due to bad weather.
08.09.2009;10:30:00;Ugamsk Gorge, South Kazakistan;Mil Mi-8;Military - Kazakhstan border guard service;Patrol;;;Yes; Kazakhstan border guard service;13;?;10;?;0;;The helicopter crashed while while pursuing suspected gunmen near the Uzbek border.
12.12.1938;;Darwin, Australia;Short S23 ‘C’ Class flying boat;Qantas;;;;No;;13;?;13;?;0;G-AEUH;Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qantas.
12.03.1990;;Off Freetown, Sierre Leone;Sikorsky S-58ET (helilcopter);Helicsa;;58-1617;;No;;13;?;11;?;0;EC-DDR;Crashed into the sea after takeoff.
30.04.1982;;Gulf of Thailand;Sikorsky S-76;Okanagan Helicopters;;760038;;No;;13;?;13;?;0;C-GIMF;The helicopter crashed under unknown circumstances.
21.09.2010;;Chopan district, Zabul Province, Afghanistan;Sikorsky UH-60 Black Hawk;International Security Assistance Force;;;;No;;13;?;10;?;0;93-26517;The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.
27.11.2001;01:56:00;Port Harcourt, Nigeria;Boeing 747-246F;MK Airlines;Luxembourg - Port Harcourt;22063/432;;No;;13;0;1;0;0;9G-MKI;The cargo plane contacted the ground 700 meters short of the runway, broke in two and burned.
03.11.1948;10:50:00;Near Glossop, England;Boeing B-29A Superfortress;Military - U.S. Air Force;RAF Scrampton - Burtonwood AFB;11476;;Yes; U.S. Air Force;13;0;13;0;0;44-61999;Twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.
17.09.1944;21:20:00;Copeland, Kansas;Consolidated B-24 Liberator;Military - U.S. Army;;;;Yes; U.S. Army;13;0;13;0;2;;The bomber crashed into a farmhouse.
24.05.1986;;Antananarivo, Madagascar;Douglas C-47;Military - Armée de l'Air Malgache;Antananarivo - Antsirabe;;;Yes; Armée de l'Air Malgache;13;0;13;0;0;;Flew into the side of a mountain in poor weather. Controlled flight into terrain.
12.12.1961;08:45:00;Chievres, Belgium;Fairchild C-119G / Fairchild C-119;Military - Belgian Air Force;;10951/ 11082;;Yes; Belgian Air Force;13;0;13;0;8;CP-23 / CP-25;Midair collision between two C-119s.
30.11.1992;21:20:00;Near Harlem, Montana;Lockheed C-141B / Lockheed C141B;Military - U.S. Air Force / Military - U.S. Air Force;;6106 / 6168;;Yes; U.S. Air Force / Military;13;0;13;0;0;650255/660142;The two aircraft on a training mission and refueling collided in darkness at 25,000 ft. and crashed to the ground. Seven killed on 65-0255 and 6 on 66-0142
11.12.1977;11:20:00;Hierro, Canary Islands;Lockheed P-3B Orion;Military - U.S. Navy;Lajes-Lajes;185-5225;;Yes; U.S. Navy;13;0;13;0;0;153428;While on patrol the plane flew into a 4,200 ft. mountain at 1,200 ft.
05.12.1945;19:50:00;Off Smyrna, Bahamas;Martin PBM Mariner;Military - U.S. Navy;Patrol;;;Yes; U.S. Navy;13;0;13;0;0;59225;Twenty minutes after taking off, while cruising at low height, the aircraft went out of control and crashed in an explosion into the Sargasso Sea,  The crew may have lost their situational awareness or suffered a spatial disorientation and lost control of the aircraft while flying by night over the sea, without any ground visual references.
07.04.1992;;Near Sarra, Libya;Antonov AN-24RV;Air Bissau;Khartoum - Tunis;77310810;;No;;13;10;3;0;0;J5-GAE;Could not land due to a sandstorm, ran out of fuel and made a forced landing in the desert. Crash landed in the desert, 62 miles southeast of Sarra. Among the passengers was Yasser Arafat.
12.07.2001;12:05:00;Near Puerto Cabello, Venezuela;Antonov AN-28 PZL-Mielec M-28 Sky Truck;Private - Overtec Company;Puerto Cabello - Caracas;AJE 001-10;;No;;13;10;13;10;0;YV-117CP;The aircraft crashed and burned moments after taking off from General Bartholomew Salóm Airport during a National Guard demonstration. The right engine appeared to have failed at a critical stage in the takeoff. There were 8 civilians and 5 military personnel board.
23.01.1980;;Mt. Cemonyet,  Indonesia;CASA 212 Aviocar 100;Pelita Air Service;Bandung - Jakarta;45/3N;;No;;13;10;13;10;0;PK-PCX;Hit high ground at 2,700 ft. in poor weather while on approach.
26.11.1966;14:24:00;Near La Pedrera, Colombia;Consolidated  PBY-5A Catalina;Satena;La Pedrera -Leticia;;;No;;13;10;12;9;0;FAC-621;Shortly after takeoff from  La Pedrera Airport, while in an initial climb, the seaplane stalled and crashed into the Rio Caquetá.
15.03.1960;;El Refugio, Colombia;Consolidated PBY-5A Catalina;Agencia Interamericana de Aviada;Aracacuara - Villavicencio;;;No;;13;10;6;4;0;HK-1001E;Crashed in the jungle  en route.
12.08.1965;11:00:00;Near Cuiaba, Brazil;Curtiss C-46A;Paraense Transportes Aéreos;Mato Grosso - Porto Velho;30571;;No;;13;10;13;10;0;PP-BTH;About 30 minutes after taking off, the aircraft turned back to Mato Grosso with its left engine on fire. While over Buracao, it's left wing and engine broke away from the fuselage and it crashed to the ground.
14.09.1999;;Bucharest, Romania;Dassault Falcon 900B;Greek Government;Athens - Bucharest;026;3838;No;;13;10;7;7;0;SX-ECH;Experienced pitch oscillations during descent and crashed while landing. Inadequate risk assessment of the pitch feel malfunctions. Overriding of the A/P on the pitch channel by the crew.
27.05.1972;15:10:00;Near Helgoland, Germany;de Havilland Canada DHC-6 Twin Otter;General Air;Helgoland - Wangerooge;31;005;No;;13;10;8;6;0;D-IDHC;Crashed after taking off from this North sea island for another island.
28.02.1973;;Near Nabire, Indonesia;de Havilland Canada DHC-6 Twin Otter 100;Merpati Nusantara Airlines;;70;;No;;13;10;13;10;0;PK-NUC;Crashed while en route 45 km east of Nabire.
22.02.2005;13:22:00;Bimin, Papua, New Guinea;de Havilland DHC-6 Twin Otter 300;Missionary Aviation Fellowship;Tabubil - Bimin;174;;No;;13;10;2;0;0;P2-MFQ;While on approach to Runway 29 the aircraft crashed on a mountain.
18.07.1946;21:10:00;Goodland, Kansas;Douglas C-47;Military - U.S. Army Air Corps;Topeka - Denver;;;Yes; U.S. Army Air Corps;13;10;13;10;0;;Crashed into a field during a thunder and lightning storm.
08.03.1947;;L'isola di Ischia, Italy;Douglas C-47B;Military - Royal Air Force;Hassani - Rome - Northolt;15131/26576;;Yes; Royal Air Force;13;10;13;10;0;KK122;Due to low visibility, the crew did not realize they were off course when the aircraft hit the slope of Mt Epomeo on Ischia Island.
25.03.1937;18:40:00;Clifton, Pennsylvania;Douglas DC-2-112;Trans Continental and Western Air;Newark - Camden - Pittsburg;1256;15A;No;;13;10;13;10;0;NC13730;While attempting to land the aircraft banked left and crashed short of the runway. Heavy icing which rendered the plane uncontrollable.
09.08.1940;;Hannover, Germany;Douglas DC-2-115H;Deutsche Lufthansa;;1366;;No;;13;10;2;2;0;D-AIAV;No cause was described except it being pilot error.
17.10.1946;00:57:00;Laramie, Wyoming;Douglas DC-3;National Air Transport Services;Oakland - Chicago;12971;942;No;;13;10;13;10;0;NC38942;Crashed during a snowstorm into prairie lands while attempting to land at Laramie.  Weather conditions were deteriorating rapidly and worse than predicted. The action of the pilot in maneuvering the aircraft at a dangerously low altitude under extremely adverse weather conditions in an attempt to land.  A contributing factor was the negligence of the pilot in planning a flight into an area in which adverse weather conditions were forecast without making adequate provisions for a suitable alternate airport.
07.05.1949;16:00:00;Sibuyan Sea, off the Philippine island of Elalat;Douglas DC-3;Philippine Air Lines;Daet - Manila;16743/33491;;No;;13;10;13;10;0;PI-C-98;The plane was on a flight from Daet, Camarines to Manila when it crashed after experiencing a violent explosion in the tail of the aircraft. Two ex-convicts confessed to planting a time bomb aboard the flight in order to kill the husband of a woman involved with another man.
02.09.1948;20:15:00;Near Quirindi, Australia;Douglas DC-3;Australian National Airways;Brisbane - Sidney;9999;331;No;;13;10;13;10;0;VH-ANK;Strayed off course and struck Square Peak Mountain at an altitude of 4,600 feet.
31.08.1948;;Near Elizabethville, Belgium Congo;Douglas DC-3 (Douglas C-47A-10-DK);Sabena;Manono - Elizabethville;12420;;No;;13;10;13;10;0;OO-CBL;Crashed en route. Reasons undetermined.
23.10.1942;17:15:00;Palm Springs, California;Douglas DC-3 / Lockheed B-34;American Airlines / Military - USAF;Palm Springs - New York City;1555;28;Yes; USAF;13;10;12;10;0;NC16017;Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Lockheed B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.
23.01.1941;04:13:00;Near Robertson, Missouri;Douglas DC-3-3;Trans Continental and Western Air;Kansas City, MO - New York;1930;6;No;;13;10;2;1;0;NC17315;Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.
02.06.1980;;Near Yachiba, Bolivia;Fairchild F-27J;Lloyd Aereo Boliviano;Cochabamba-Yacuiba;0118;;No;;13;10;13;10;0;CP-1117;Crashed in the Tapecua mountains.
17.01.1936;;Near Cordillera, Boliva;Junkers JU-52;Lloyd Aereo Boliviano;Cochabamba - La Paz;4018;;No;;13;10;13;10;0;;Crashed into a mountain near the village of Tapacari, 23 miles from Chochabanba.
01.07.1947;;Near Eaeka, French Cameroons;Junkers JU-52/3m;Air France;Bangu i- Yaoundé - Douala;091;;No;;13;10;13;10;0;F-BALF;Crashed into the slope of a mountain while en route in reduced visibility.
01.10.1938;;Grisons, Switzerland;Junkers JU-52/3m;Deutsche Lufthansa;Frankfurt, Germany - Milan, Italy;5928;;No;;13;10;13;10;0;D-AVFB;While flying over the Alps, the aircraft disappeared. A search was unsuccessful and  no trace of the aircraft nor the occupant was found. A mountain guide found debris 14 years later, on the slope of the Pizzo Cengalo on the border with Switzerland. Some mail bags were recovered and sent to the local post office.
28.10.1941;;Near Petrich, bulgaria;Junkers JU-53/3m;Deutsche Lufthansa;Athens - Sofia;7172;;No;;13;10;13;10;0;D-AUXZ;Crashed on the Greek/Hungarian border. Cause unknown,
23.10.1948;14:15:00;Mt. Ruapehu, New Zealand;Lockheed 10A Electra;New Zealand National Airways;Palmerston - Hamilton;1128;;No;;13;10;13;10;0;ZK-AGK;Crashed 700 feet from the summit of a mountain while en route in low visibility. Lack of navigational aids in the area contributed to the accident cause.
22.08.1942;13:00:00;Trinidad;Lockheed 14 Electra;KLM Royal Dutch Airlines;Trinidad - Curacao;1410;;No;;13;10;13;10;0;PJ-AIP;Shortly after taking off all radio contact was lost with the aircraft. Next day, the wreckage was found near the airport. The cause was never determined. Possible encounter with a severe thunderstorm.
20.12.1942;19:00:00;Near Chilliwack, British Columbia, Canada;Lockheed 14-H2 Super Electra;Canadian Pacific Air Lines;Prince George - Vancouver;1504;;No;;13;10;13;10;0;CF-CPD;Crashed into the slopes of M.t Cheam at 7,000 feet. Possible complete electrical failure resulting in the deviation from the prescribed route.
10.04.1953;;Off Kingston, Jamaica;Lockheed 18-56 Lodestar;Caribbean International Airways;Kingston - George Town;2568;;No;;13;10;13;10;0;VP-JBC;Lost an engine on takeoff, climbed to 100-200 ft. entering a slight banking turn and crashed into the sea. Failure of the left engine which was due to the cracking of the accessory drive gear. Failure of the pilot to take precautionary steps on hearing the back firing, which was a warning of possible engine failure.
18.12.2016;06:10:00;Near Wamena, Papua, Indonesia;Lockheed C-130H Hercules;Indonesian Air Force;Timika - Warmera;4785;;No;;13;10;13;10;0;A-1134;The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.
20.07.1942;;Llanfair, England;Lockheed Hudson;Military - Royal Air Force;Sydenham - Hendon;414-1649;;Yes; Royal Air Force;13;10;13;10;0;N7253;The aircraft went out of control while flying in thunderstorm activity and may have been struck by lightning.
07.03.1950;20:59:00;Minneapolis, Minnesota;Martin 202;Northwest Orient Airlines;Rochester Minn. - Minneapolis;9134;307;No;;13;10;13;10;2;N93050;The aircraft flew 128 below the ILS glideslope and crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost.
09.11.1935;;Brindisi, Italy;Short S-17 Kent;Imperial Airways;London - Brindisi - Alexandria;S-759;;No;;13;10;12;9;0;G-ABFB;While preparing for departure a fire broke out. The fire erupted while fueling.
03.10.1986;;Manado, North Sulawesi, Indonesia;Short SC-7 Skyvan Variant;Eastindo;Mangole - Manado;1923;;No;;13;10;13;10;0;PK-ESC;While approaching Manado-Sam Ratulangi Airport, the crew encountered marginal weather conditions and failed to realize their altitude was insufficient to clear the slope of Mt Takawirang, located few km from the airport. The aircraft struck to mountain and was destroyed upon impact.
01.06.1970;05:12:00;Tripoli, Libya;Tupolev TU-104A;Ceskoslovenske Aerolinie;Prague - Tripoli;96601803;;No;;13;10;13;10;0;OK-NDO;Undershot runway in fog and crashed after two failed landing attempts. Crew error.
25.06.1952;;Off Northumberland, North Sea;Avro Shackleton MR-1;Military - Royal Air Force;Scrampton RAF Station, England;;;Yes; Royal Air Force;13;11;11;9;0;VP261;Crashed into the North Sea near Holy Island while participating in North Atlantic Treaty maneuvers.
30.04.2012;16:30:00;Sabanagrande, Colombia;Bell 212;Military -Fuerza Aerea Colombiana;Barranquilla - Caucasia;31272;;Yes;Fuerza Aerea Colombiana;13;11;13;11;0;FAC 4020;The helicopter caught fire and crashed while en route.
12.01.1937;11:07:00;Near Newhall, California;Boeing 247D;Western Air Express;Salt Lake City - Burbank;1696;7;No;;13;11;5;4;0;NC13315;The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.
05.05.2019;18:30:00;Near Monclava, Mexico;Canadair CL-600-2B16-Challenger;TVPX Aircraft Solutions;Las Vegas - Monterrey;5043;;No;;13;11;13;11;0;N601VH;The aircraft crashed while en route on a return trip from Las Vegas to Monterrey, Mexico.
27.06.1989;;Kaohsiung, Taiwan;Cessna 404 Titan Courier II;Formosa Airlines;Kaohsiung - Chi-mei;404-0418;;No;;13;11;12;10;0;B-12206;Crashed into houses on takeoff and exploded.
06.09.1977;14:52:00;Mt. Iliamna, Alaska;de Havilland Canada DHC-6 Twin Otter 200;Alaska Aeronautical Industries;Iliamna - Anchorage;196;302;No;;13;11;13;11;0;N563MA;Crashed in level flight  into Mt. Iliamna glacier at 7,000 feet. Failure of the flight crew to use proper navigational procedures for the route being flown especially their failure to use the available backup means of navigation to verify the position and progress of the flight. Recovery of bodies or wreckage not possible.
21.12.1972;;Off St. Maarten off, Netherlands Antilles;de Havilland Canada DHC-6 Twin Otter 300;Air Guadeloupe;Guadeloupe - St. Maarten;258;;No;;13;11;13;11;0;F-OGFE;Crashed on approach into the sea at night.
11.08.2009;11:14:00;Near Port Moresby, Papua New Guinea;de Havilland Canada DHC-6 Twin Otter 300;Airlines  PNG;Port Moreby - Kokoda;441;4684;No;;13;11;13;11;0;P2-MCB;The aircraft crashed on the eastern side of the Kokoda Gap, about 11 kms. southeast of Kokoda Airport. The aircraft impacted steep, heavily timbered terrain in a near-level altitude. Significant layers of clouds were in the area between the altitudes of 800 and 18,000 ft. with isolated showers and thunderstorms and embedded Cumulo Nimbus clouds.
18.12.1981;13:06:00;Near Covenas, Colombia;de Havilland Canada DHC-6 Twin Otter 300;ACES Colombia;Medellin-Monteria-Covenas;609;;No;;13;11;13;11;0;HK-2217;Struck high ground.
27.04.1986;08:35:00;Near Saravena, Colombia;de Havilland Canada DHC-6 Twin Otter 300;ACES Colombia;Bogota - Saravena;780;;No;;13;11;13;11;0;HK-2761;Crashed into a 8,500 ft. mountain in poor weather.
04.08.1986;00:23:00;Off St. Vincent, Leeward Islands;de Havilland Canada DHC-6 Twin Otter 300;Leeward Islands Air Transport;Vieux Fort - Kingstown;785;;No;;13;11;13;11;0;V2-LCJ;Crashed into the sea in poor weather conditions.
03.09.1978;;Coal Harbour, BC, Canada;de havilland Canada Twin Otter 200;AirWest Airlines;Victoria harbor - Victoria Harbor Water Aerodome;215;;No;;13;11;11;9;0;C-FAIV;While on approach, the aircraft yawed to the left and plunged into the ocean in a left-wing and nose-down attitude and sank. In-flight failure of the left-hand inboard flap control rod that led to a sudden retraction of the complete left-hand flap system and sudden loss of control.
25.07.1969;17:45:00;Kekaha, Hawaii;De Havilland DH-104 Dove;Trans Isle Air;Kalaupapa - Lihue;826;;No;;13;11;1;1;0;N88G;The sightseeing flight collided with trees after experiencing an engine failure. Failure of valve assembly. Pilot-in-command exercised poor judgment. Unwarranted low flying.
19.04.1945;05:35:00;Near Perth, Australia;Douglas DC-3;Military - U.S. Navy;Perth - Adelaide;10017;;Yes; U.S. Navy;13;11;13;11;0;39067;Failed to gain altitude while taking off. The transport crashed into a hillside as it took off in heavy fog at Guildford Airport.
27.11.1947;;Yakutat, Alaska;Douglas DC-3C;Columbia Air Cargo;Fairbanks - Yakutat;6065;;No;;13;11;13;11;0;NC95486;Crashed into trees while on approach to Yakutat. Failure to follow the approved instrument approach procedures while making an initial approach at an altitude insufficient to clear trees along the flight path.
06.12.1984;18:14:00;Jacksonville, Florida;Embraer 110P1 Bandeirante;Provincetown - Boston Airlines;Jacksonville - Tampa;110-365;1039;No;;13;11;13;11;0;N96PB;After taking off, the aircraft went into a steep dive, crashed and burned 7,800 ft. beyond the departure end of the runway. Malfunction of the elevator control system or elevator trim system. The reaction of the flight crew to correct the pitch control problem overstressed the left elevator control rod, which resulted in asymmetrical elevator deflection and overstress failure of the horizontal stabilizer attachment structure.
29.04.2016;11:50:00;Sorta, Norway;Eurocopter EC225LP Super Puma M2+;CHC Helikopter Service;Gullfflex B - Bergen;2721;;No;;13;11;13;11;0;LN-OJF;The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.
24.01.2003;16:45:00;Busia, Kenya;Grumman G-159 Gulfstream I;African Commuter Services;Busia - Nairobi;158;;No;;13;11;3;1;0;5Y-EMJ;The plane failed to gain altitude during takeoff, hit power lines and crashed inverted into a house. Kenyan Labor Minister, Ahmed Khalif and the two pilots were killed. The plane was grossly overloaded. The plane which weighed 16 tons, was taking off from an airstrip designed for aircraft weighing less than 5.7 tons.
17.06.1929;11:30:00;Off Dungeness, England;Handley Page W-10;Imperial Airways;London - Paris - Basil - Zuric;W10/4;;No;;13;11;7;7;0;G-EBMT;"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa."""
28.04.2005;11:28:00;Pisco, Peru;Let 410UVP;Military - Fuerza Del Peru;Training;790304;;Yes; Fuerza Del Peru;13;11;13;11;0;EP-830;While taking off on a training flight, the twin engine aircraft stalled and crashed near a petroleum facility near the airport.
18.09.2001;07:30:00;Guatemala City, Guatemala;Let 410UVP-E;Atlantic Airlines;Guatemala City - San Pedro Sula, Honduras;861705;870;No;;13;11;9;8;0;TG-CPE;The aircraft was taking off from Guatemala's Aurora Airport when it lost power in one of it's engines and crashed to the ground.
27.04.1945;12:40:00;Washington D.C.;Lockheed 18 Lodestar;Page Airways;Washington - New York;2221;;No;;13;11;6;6;0;NC33328;Lost an engine during takeoff, settled back on the runway, overran the runway, rolled to the right and crashed into a drainage ditch and burned. Engine failure during a critical point in the take-off followed by the pilot executing an emergency landing under unfavorable conditions. Contributing factors were the strong gusts and ground turbulence which prevailed at the time and the presence of a deep ditch near the runway.
04.09.1962;21:00:00;Near Lake Milton, Ohio;Lockheed 18 Lodestar;Private - Ashland Oil Company;Buffalo - Ashland;2463;;No;;13;11;13;11;0;N1000F;The aircraft lost its right wing in flight, crashed and burned in a field. Malfunction of the electric elevator trim tab unit which resulted in aircraft uncontrollability and subsequent structural failure of the wing.
27.07.1960;22:38:00;Forest Park, Illinois;Sikorsky S-58C helicopter;Chicago Helicopter Airways;;58420;698;No;;13;11;13;11;0;N879;The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.
05.08.2008;19:30:00;Near Junction City, California;Sikorsky S-61N;Junction City Fire Department;Ferrying fire fighters;61297;;No;;13;11;9;8;0;N612AZ;The helicopter was ferrying fire fighters in Northern California's Shasta-Trinity National Forest when it crashed. The four survivors were seriously burned, with two listed in critical condition. The helicopter lost main rotor power during liftoff.
25.11.1990;;Off Ravenna, Italy;Aerospatiale 330J Puma;Eitos;;1133;;No;;13;12;13;12;0;I-EHPA;The helicopter crashed into the sea during a storm.
11.06.2012;;Near Serov, Russia;Antonov An-2R;Illegal flight;;1G221-48;;No;;13;12;13;12;0;RA-40312;The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They  managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident.
21.02.1980;19:09:00;Sydney, NSW, Australia;Beechcraft Super King Air 200;Advance Airlines;Sydney - Tomora;BB-0245;;No;;13;12;13;12;0;VH-AAV;Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
06.08.1980;17:40:00;Houma, Louisiana;Bell 205A-1 helicopter;Air Logistics;Oil Platform SS-224 - Houma LA;30203;;No;;13;12;13;12;0;N95AL;Crashed after continued VFR flight into adverse weather conditions. No windshield wipers, unreliable attitude indicator and inoperative turn needle.
